nohup: ignoring input

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-01-23 14:41:19 /queue/tickets/atendimento ................... ~ 0.12ms
  2026-01-23 14:41:24 /queue/tickets/atendimento ................... ~ 0.10ms
  2026-01-23 14:41:29 /queue/tickets/atendimento ................... ~ 0.14ms
  2026-01-23 14:41:34 /queue/tickets/atendimento ................... ~ 0.10ms
  2026-01-23 14:41:39 /queue/tickets/atendimento ................... ~ 0.15ms
  2026-01-23 14:41:42 /favicon.ico ................................. ~ 0.25ms
  2026-01-23 14:41:42 /favicon.ico ..................................... ~ 1s
  2026-01-23 14:41:44 /queue/atendimento ............................... ~ 6s
  2026-01-23 14:41:50 /queue/tickets/atendimento ................... ~ 0.03ms
  2026-01-23 14:41:50 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:41:54 /favicon.ico ................................. ~ 0.20ms
  2026-01-23 14:41:54 /favicon.ico ..................................... ~ 2s
  2026-01-23 14:41:57 .................................................. ~ 1m
  2026-01-23 14:42:57 /selecionar-guiche ........................... ~ 0.03ms
  2026-01-23 14:42:57 / ............................................ ~ 0.02ms
  2026-01-23 14:42:57 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-23 14:42:57 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:43:03 /selecionar-guiche ........................... ~ 0.14ms
  2026-01-23 14:43:03 / ............................................ ~ 0.03ms
  2026-01-23 14:43:03 /images/atendenteico.png ..................... ~ 0.02ms
  2026-01-23 14:43:03 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:43:10 /selecionar-guiche ........................... ~ 0.10ms
  2026-01-23 14:43:10 / ............................................ ~ 0.02ms
  2026-01-23 14:43:10 /images/atendenteico.png ..................... ~ 0.02ms
  2026-01-23 14:43:10 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:43:11 / ............................................ ~ 0.09ms
  2026-01-23 14:43:12 /images/atendenteico.png ..................... ~ 0.02ms
  2026-01-23 14:43:12 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:43:15 / ............................................ ~ 0.38ms
  2026-01-23 14:43:15 /images/atendenteico.png ................... ~ 501.52ms
  2026-01-23 14:43:15 /favicon.ico ................................. ~ 0.10ms
  2026-01-23 14:45:37 / ............................................ ~ 0.15ms
  2026-01-23 14:45:37 /images/atendenteico.png ..................... ~ 0.43ms
  2026-01-23 14:45:37 /favicon.ico ................................. ~ 0.02ms
  2026-01-23 14:45:42 /logout ...................................... ~ 0.08ms
  2026-01-23 14:45:42 / ............................................ ~ 0.03ms
  2026-01-23 14:45:42 /login ....................................... ~ 0.02ms
  2026-01-23 14:45:42 /images/login.png .......................... ~ 500.22ms
  2026-01-23 14:45:43 /favicon.ico ................................. ~ 0.03ms
  2026-01-23 14:45:50 /login ....................................... ~ 0.12ms
  2026-01-23 14:45:50 / ............................................ ~ 0.03ms
  2026-01-23 14:45:50 /images/atendenteico.png ..................... ~ 0.03ms
  2026-01-23 14:45:50 /favicon.ico ................................. ~ 0.13ms
  2026-01-23 14:46:00 /selecionar-guiche ........................... ~ 0.22ms
  2026-01-23 14:46:00 / ............................................ ~ 0.03ms
  2026-01-23 14:46:00 /images/atendenteico.png ..................... ~ 0.02ms
